Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)

10.000000	0.002667	0.062303	0.062360	-18.248438	0.010000	0.400377	177.180108	177.180108	177.180108	0.783854	0.000011	2.830000	800.858270	282.994378	0.360142
10.144045	0.002745	0.063198	0.063257	-17.751679	0.010000	0.400382	177.139460	177.139460	177.139460	0.783878	0.000012	2.830000	800.857346	282.994214	0.365334
10.290166	0.002824	0.064105	0.064168	-17.254923	0.010000	0.400386	177.098225	177.098225	177.098225	0.783902	0.000012	2.830000	800.856395	282.994045	0.370600
10.438391	0.002906	0.065026	0.065091	-16.758172	0.010000	0.400391	177.056394	177.056394	177.056394	0.783928	0.000013	2.830000	800.855416	282.993871	0.375943
10.588751	0.002990	0.065960	0.066028	-16.261423	0.010000	0.400396	177.013960	177.013960	177.013960	0.783954	0.000014	2.830000	800.854408	282.993692	0.381363
10.741277	0.003077	0.066907	0.066978	-15.764681	0.010000	0.400401	176.970913	176.970913	176.970913	0.783981	0.000015	2.830000	800.853371	282.993508	0.386862
10.896000	0.003166	0.067868	0.067941	-15.267941	0.010000	0.400406	176.927244	176.927244	176.927244	0.784008	0.000015	2.830000	800.852304	282.993318	0.392439
11.052951	0.003258	0.068842	0.068919	-14.771208	0.010000	0.400412	176.882945	176.882945	176.882945	0.784037	0.000016	2.830000	800.851205	282.993123	0.398098
11.212164	0.003353	0.069830	0.069910	-14.274476	0.010000	0.400417	176.838006	176.838006	176.838006	0.784066	0.000017	2.830000	800.850075	282.992921	0.403838
11.373670	0.003450	0.070832	0.070916	-13.777753	0.010000	0.400423	176.792418	176.792418	176.792418	0.784096	0.000018	2.830000	800.848911	282.992714	0.409661
11.537502	0.003550	0.071849	0.071936	-13.281033	0.010000	0.400429	176.746171	176.746171	176.746171	0.784127	0.000019	2.830000	800.847713	282.992501	0.415568
11.703695	0.003653	0.072880	0.072971	-12.784316	0.010000	0.400435	176.699256	176.699256	176.699256	0.784159	0.000021	2.830000	800.846480	282.992282	0.421560
11.872281	0.003758	0.073926	0.074021	-12.287608	0.010000	0.400441	176.651664	176.651664	176.651664	0.784191	0.000022	2.830000	800.845211	282.992056	0.427639
12.043295	0.003867	0.074986	0.075086	-11.790905	0.010000	0.400447	176.603384	176.603384	176.603384	0.784225	0.000023	2.830000	800.843905	282.991823	0.433806
12.216773	0.003979	0.076062	0.076166	-11.294205	0.010000	0.400453	176.554406	176.554406	176.554406	0.784260	0.000024	2.830000	800.842560	282.991584	0.440062
12.392750	0.004095	0.077153	0.077261	-10.797510	0.010000	0.400460	176.504721	176.504721	176.504721	0.784295	0.000026	2.830000	800.841176	282.991337	0.446409
12.571262	0.004213	0.078259	0.078373	-10.300825	0.010000	0.400467	176.454318	176.454318	176.454318	0.784332	0.000027	2.830000	800.839751	282.991083	0.452847
12.752345	0.004336	0.079382	0.079500	-9.804143	0.010000	0.400474	176.403186	176.403186	176.403186	0.784370	0.000029	2.830000	800.838285	282.990822	0.459378
12.936037	0.004461	0.080520	0.080643	-9.307470	0.010000	0.400481	176.351315	176.351315	176.351315	0.784409	0.000031	2.830000	800.836776	282.990553	0.466004
13.122374	0.004590	0.081674	0.081803	-8.810800	0.010000	0.400489	176.298694	176.298694	176.298694	0.784449	0.000033	2.830000	800.835222	282.990276	0.472725
13.311396	0.004723	0.082845	0.082979	-8.314139	0.010000	0.400497	176.245313	176.245313	176.245313	0.784490	0.000034	2.830000	800.833622	282.989990	0.479544
13.503140	0.004860	0.084032	0.084172	-7.817483	0.010000	0.400505	176.191160	176.191160	176.191160	0.784532	0.000037	2.830000	800.831976	282.989697	0.486462
13.697647	0.005001	0.085236	0.085383	-7.320836	0.010000	0.400513	176.136224	176.136224	176.136224	0.784576	0.000039	2.830000	800.830281	282.989394	0.493479
13.894955	0.005146	0.086457	0.086610	-6.824194	0.010000	0.400521	176.080493	176.080493	176.080493	0.784621	0.000041	2.830000	800.828536	282.989083	0.500598
