BC_15DS115 Flatness Analysis Results
================================================================================

Evaluated 75 designs

Flatness Ranges:
  Bass (20-100 Hz): 5.64 - 9.34 dB
  Midbass (F3-200 Hz): 2.76 - 9.71 dB
  Full band (20-500 Hz): 6.64 - 10.45 dB

All Results:
F3       Vol      Bass     Midbass    Full     T1     T2    
--------------------------------------------------------------------------------
39.8     1365     6.24     5.68       6.87     0.810  1.000 
41.1     1243     6.25     5.68       6.88     0.779  1.000 
21.6     1108     5.65     6.40       6.67     0.981  0.999 
22.1     1063     5.64     6.35       6.64     0.955  0.996 
26.7     998      7.37     6.87       8.26     0.986  0.990 
24.5     951      5.90     6.25       6.99     0.981  0.998 
25.4     906      6.14     6.43       7.32     0.941  0.992 
25.6     887      6.35     6.26       7.30     0.969  1.000 
25.2     848      6.64     6.90       7.75     0.985  0.997 
25.8     837      6.92     6.74       7.86     0.987  0.998 
25.6     826      7.36     7.14       8.13     0.981  0.996 
26.4     810      7.12     6.75       7.95     0.968  1.000 
26.8     802      7.55     7.00       8.19     0.981  0.996 
26.7     788      7.79     7.17       8.28     0.980  0.996 
26.7     778      7.98     7.35       8.39     0.980  0.996 
26.7     772      8.17     7.54       8.49     0.986  1.000 
26.5     762      8.33     7.85       8.65     0.972  0.999 
26.7     750      8.50     7.93       8.70     0.985  1.000 
26.7     739      8.71     8.18       8.84     0.978  1.000 
26.7     733      8.90     8.38       8.94     0.974  1.000 
27.4     730      8.88     8.21       8.93     0.982  0.999 
27.4     721      9.02     8.40       9.05     0.982  0.996 
27.6     724      9.11     8.32       9.04     0.982  0.995 
27.8     713      9.20     8.46       9.14     0.981  0.999 
27.4     702      9.14     8.42       9.13     0.981  0.999 
27.3     693      9.20     8.42       9.21     0.978  1.000 
27.5     689      9.34     8.33       9.33     0.978  0.998 
27.2     686      9.18     8.33       9.27     0.989  0.999 
27.5     676      9.29     8.37       9.39     0.972  0.999 
27.4     672      9.01     8.50       9.45     0.981  0.999 
27.4     665      9.09     8.60       9.58     0.981  0.996 
27.9     660      8.73     8.72       9.67     0.981  0.996 
27.5     651      8.35     8.78       9.70     0.981  0.996 
28.3     644      8.05     8.91       9.86     0.906  0.998 
28.1     641      8.63     8.63       9.67     0.978  1.000 
28.5     633      8.44     8.65       9.74     0.961  1.000 
28.9     632      8.23     8.94       9.91     0.962  1.000 
28.8     625      8.23     8.97       9.94     0.961  0.994 
28.0     622      7.76     9.15       9.93     0.980  1.000 
27.9     618      7.60     9.33       9.95     0.975  1.000 
28.3     611      7.41     9.39       9.88     0.985  0.999 
28.4     610      7.80     9.39       10.04    0.980  1.000 
28.5     607      7.77     9.45       10.07    0.980  1.000 
28.5     600      7.63     9.43       10.01    0.982  1.000 
28.4     596      7.58     9.58       10.16    0.973  0.999 
28.5     594      7.67     9.53       10.12    0.984  1.000 
28.9     589      7.50     9.69       10.25    0.984  1.000 
28.8     587      7.45     9.71       10.27    0.982  1.000 
28.8     580      7.30     9.54       10.23    0.962  1.000 
28.8     577      7.34     9.65       10.34    0.978  0.995 
29.8     571      7.30     8.51       9.74     0.935  1.000 
124.2    564      7.96     2.76       10.35    0.957  0.992 
30.3     557      7.80     9.37       10.27    0.988  0.996 
30.3     554      7.52     8.47       9.73     0.983  1.000 
30.5     543      7.69     9.12       10.26    0.980  1.000 
30.8     542      7.69     9.21       10.36    0.980  1.000 
30.7     541      7.67     9.22       10.35    0.959  0.999 
30.8     536      7.64     9.20       10.40    0.956  0.998 
30.8     527      7.53     8.55       10.20    0.978  1.000 
31.2     527      7.57     8.37       10.30    0.939  0.999 
31.3     520      7.53     8.28       10.34    0.953  1.000 
30.9     516      7.48     8.22       10.31    0.975  1.000 
31.2     513      7.51     7.70       10.42    0.959  0.999 
31.3     507      7.55     7.77       10.45    0.954  0.996 
31.3     503      7.56     7.41       10.44    0.960  0.996 
31.4     502      7.61     7.26       10.38    0.959  1.000 
31.4     493      7.61     7.11       10.09    0.962  0.993 
32.2     489      7.61     7.13       10.38    0.920  0.996 
31.5     484      7.58     7.05       9.84     0.959  0.998 
31.6     478      7.51     6.90       8.50     0.959  0.998 
31.6     471      7.52     6.91       8.51     0.959  0.998 
31.4     466      7.47     6.87       8.30     0.981  0.996 
32.6     465      7.74     6.81       8.55     0.941  0.998 
31.5     463      7.48     6.87       8.32     0.979  1.000 
31.5     460      7.48     6.87       8.32     0.979  0.996 
