BC_15DS115 Bass Horn - Size vs F3 vs Passband Flatness Optimization
================================================================================

Pareto-optimal designs: 80
F3 range: 20.2 - 68.1 Hz
Volume range: 829 - 2913 L
Passband flatness range: 0.51 - 5.38 dB

All Pareto-optimal designs:
F3       Vol      PBFlat   Throat     Mouth      Length     T1     T2    
--------------------------------------------------------------------------------
20.2     2102     5.16     1615       7041       4.98       0.997  0.990 
20.2     2091     5.16     1618       6995       4.97       0.995  0.994 
20.4     1998     5.38     1586       7155       4.98       0.997  0.990 
20.4     2032     5.37     1586       7244       4.98       0.997  0.990 
20.4     2608     4.57     1663       8028       4.99       0.991  0.991 
20.5     2128     5.06     1618       6993       4.88       0.994  0.994 
21.4     2913     3.94     1663       11024      5.00       0.991  0.991 
21.4     2909     3.92     1640       11024      5.00       0.991  0.991 
21.6     2487     4.49     1631       11024      4.98       0.999  0.992 
21.6     2700     4.27     1651       11024      4.92       0.994  0.991 
21.7     2305     4.65     1661       10140      4.89       0.992  0.994 
21.8     2783     3.86     1646       11017      4.93       0.991  0.992 
21.9     2404     4.36     1661       11342      4.92       0.991  0.994 
21.9     2552     4.10     1566       11833      4.98       0.996  0.990 
22.0     2672     3.83     1646       11017      4.93       0.991  0.992 
22.4     2701     3.71     1656       11437      4.85       0.996  0.995 
22.7     1936     3.93     847        7337       4.85       0.991  0.994 
23.0     1873     4.93     1627       7155       4.25       0.997  0.990 
23.4     2300     3.46     915        10258      4.87       0.991  0.994 
23.4     2750     3.10     855        11183      4.97       0.996  0.992 
23.4     2529     3.18     890        11996      5.00       0.991  0.995 
23.5     1823     4.91     1586       7155       4.15       0.997  0.990 
23.5     2842     2.99     854        11923      5.00       0.991  0.995 
23.5     2242     3.44     947        10321      4.85       0.991  0.994 
23.5     2231     3.64     869        9515       4.76       0.999  0.998 
23.6     2234     3.40     915        10258      4.85       0.991  0.994 
24.0     2383     3.15     871        11442      4.85       0.996  0.995 
24.0     1769     4.84     1586       7155       4.05       0.997  0.990 
25.6     2087     3.04     862        11448      4.55       0.997  0.991 
25.7     2154     2.81     871        11551      4.55       0.996  0.992 
25.9     2014     2.90     845        11950      4.64       0.998  0.996 
27.6     1679     2.93     886        10153      4.12       0.997  0.999 
27.8     1897     2.59     910        11546      4.19       0.995  0.995 
28.1     1810     2.67     917        11239      4.08       1.000  0.994 
28.9     1581     2.73     865        10140      3.95       0.991  0.994 
29.4     1699     2.52     842        11752      3.94       0.996  0.994 
30.3     1413     2.96     969        8081       3.45       0.992  0.993 
31.7     1620     2.41     969        11077      3.44       0.992  0.993 
32.2     1486     2.62     1564       11573      3.22       0.996  0.995 
33.1     1652     2.17     966        11862      4.05       0.964  0.992 
33.3     1630     2.31     939        11767      4.06       0.965  0.995 
34.7     1298     1.99     878        10115      3.18       0.997  0.992 
35.1     1356     1.87     885        11276      3.17       0.997  0.991 
35.4     1435     1.77     964        11276      3.15       0.997  0.993 
36.8     982      2.81     1009       6514       3.33       0.967  0.996 
37.8     1039     2.43     1008       8081       3.29       0.987  0.992 
38.8     1242     2.02     1008       11944      3.34       0.966  0.996 
40.1     967      2.25     856        7240       3.21       0.969  0.994 
41.1     1071     1.94     964        11218      3.10       0.963  0.994 
41.5     1124     1.79     964        11958      3.10       0.965  0.994 
41.8     1097     1.69     966        11958      3.05       0.963  0.995 
42.9     1192     1.63     964        11958      3.05       0.965  0.994 
43.0     1132     1.68     937        11958      3.05       0.965  0.995 
46.1     1732     1.43     927        11029      5.00       0.997  0.994 
46.7     1581     1.27     848        11194      4.98       0.997  0.994 
47.6     1645     1.18     871        11557      4.83       0.996  0.992 
47.8     1570     1.25     869        11453      4.83       0.997  0.991 
48.4     1451     1.32     869        9518       4.75       0.998  0.995 
48.6     1863     1.12     882        11814      4.64       0.997  0.993 
49.9     1557     1.07     885        11482      4.61       0.997  0.991 
51.0     1509     1.08     920        11482      4.51       0.997  0.991 
52.6     1443     0.90     886        11774      4.40       0.997  0.994 
53.1     1189     1.25     886        7442       4.38       0.998  0.994 
57.3     1180     0.82     884        10159      4.10       0.992  0.994 
57.8     1369     0.73     920        11969      3.91       0.996  0.992 
58.5     987      1.07     920        6930       4.01       0.997  0.994 
58.8     1284     0.63     870        11537      3.86       1.000  0.995 
59.8     1188     0.58     845        11294      3.88       0.999  0.994 
60.5     1174     0.55     845        11856      3.88       0.999  0.994 
61.8     1119     0.54     845        11127      3.71       0.999  0.994 
62.1     1147     0.51     845        11856      3.70       0.999  0.994 
63.7     950      0.96     846        7389       3.38       0.996  0.998 
64.2     911      1.02     866        6910       3.38       0.996  0.998 
65.0     928      1.00     870        6885       3.34       0.996  0.999 
66.0     1118     0.71     870        10992      3.06       0.991  0.995 
66.2     1092     0.69     870        10992      3.05       0.995  0.995 
67.0     875      0.87     855        7286       3.14       0.992  0.998 
67.8     856      0.80     848        7435       3.09       0.992  0.994 
68.1     829      0.83     847        6916       3.09       0.992  0.993 
68.1     831      0.83     847        6916       3.09       0.992  0.994 
