# BC_DE250 Horn Profile for Onshape
# Units: mm
# x = axial distance from throat (mm)
# y = internal radius at x (mm)
# Revolve this profile around x-axis to create 3D horn
x,y
0.000,13.363
4.169,13.769
8.338,14.187
12.507,14.618
16.675,15.062
20.844,15.519
25.013,15.990
29.182,16.476
33.351,16.976
37.520,17.492
41.688,18.023
45.857,18.570
50.026,19.134
54.195,19.715
58.364,20.313
62.533,20.930
66.701,21.566
70.870,22.220
75.039,22.895
79.208,23.590
83.377,24.306
87.546,25.044
91.715,25.805
95.883,26.588
100.052,27.396
104.221,28.228
108.390,29.085
112.559,29.968
116.728,30.878
120.896,31.815
125.065,32.781
129.234,33.776
133.403,34.802
137.572,35.859
141.741,36.948
145.909,38.069
150.078,39.225
154.247,40.416
158.416,41.643
162.585,42.908
166.754,44.211
170.922,45.553
175.091,46.936
179.260,48.361
183.429,49.830
187.598,51.343
191.767,52.902
195.936,54.508
200.104,56.163
204.273,57.868
204.273,57.868
208.634,58.869
212.995,59.887
217.356,60.923
221.717,61.976
226.077,63.048
230.438,64.138
234.799,65.248
239.160,66.376
243.521,67.524
247.882,68.692
252.243,69.879
256.603,71.088
260.964,72.317
265.325,73.568
269.686,74.840
274.047,76.135
278.408,77.451
282.768,78.791
287.129,80.153
291.490,81.539
295.851,82.949
300.212,84.384
304.573,85.843
308.933,87.328
313.294,88.838
317.655,90.374
322.016,91.937
326.377,93.527
330.738,95.145
335.099,96.790
339.459,98.464
343.820,100.167
348.181,101.899
352.542,103.661
356.903,105.454
361.264,107.277
365.624,109.133
369.985,111.020
374.346,112.940
378.707,114.893
383.068,116.880
387.429,118.901
391.790,120.958
396.150,123.049
400.511,125.177
404.872,127.342
409.233,129.544
413.594,131.785
417.955,134.064
