# BC_DE250 Horn Profile - Optimized for Wavefront Sphericity
# Units: mm
# Column 1: Axial distance from throat (x)
# Column 2: Internal radius at x
# Column 3: Internal diameter at x
# Column 4: Segment number (1 or 2)
x_mm,radius_mm,diameter_mm,segment
0.000,13.363,26.727,1
4.169,13.769,27.538,1
8.338,14.187,28.374,1
12.507,14.618,29.236,1
16.675,15.062,30.124,1
20.844,15.519,31.038,1
25.013,15.990,31.981,1
29.182,16.476,32.952,1
33.351,16.976,33.952,1
37.520,17.492,34.983,1
41.688,18.023,36.045,1
45.857,18.570,37.140,1
50.026,19.134,38.267,1
54.195,19.715,39.429,1
58.364,20.313,40.627,1
62.533,20.930,41.860,1
66.701,21.566,43.131,1
70.870,22.220,44.441,1
75.039,22.895,45.790,1
79.208,23.590,47.180,1
83.377,24.306,48.613,1
87.546,25.044,50.089,1
91.715,25.805,51.610,1
95.883,26.588,53.177,1
100.052,27.396,54.791,1
104.221,28.228,56.455,1
108.390,29.085,58.169,1
112.559,29.968,59.935,1
116.728,30.878,61.755,1
120.896,31.815,63.630,1
125.065,32.781,65.562,1
129.234,33.776,67.553,1
133.403,34.802,69.604,1
137.572,35.859,71.718,1
141.741,36.948,73.895,1
145.909,38.069,76.139,1
150.078,39.225,78.451,1
154.247,40.416,80.833,1
158.416,41.643,83.287,1
162.585,42.908,85.816,1
166.754,44.211,88.421,1
170.922,45.553,91.106,1
175.091,46.936,93.872,1
179.260,48.361,96.723,1
183.429,49.830,99.659,1
187.598,51.343,102.685,1
191.767,52.902,105.803,1
195.936,54.508,109.016,1
200.104,56.163,112.326,1
204.273,57.868,115.736,1
204.273,57.868,115.736,2
208.634,58.869,117.738,2
212.995,59.887,119.774,2
217.356,60.923,121.845,2
221.717,61.976,123.952,2
226.077,63.048,126.096,2
230.438,64.138,128.277,2
234.799,65.248,130.495,2
239.160,66.376,132.752,2
243.521,67.524,135.048,2
247.882,68.692,137.383,2
252.243,69.879,139.759,2
256.603,71.088,142.176,2
260.964,72.317,144.635,2
265.325,73.568,147.136,2
269.686,74.840,149.680,2
274.047,76.135,152.269,2
278.408,77.451,154.902,2
282.768,78.791,157.581,2
287.129,80.153,160.306,2
291.490,81.539,163.079,2
295.851,82.949,165.899,2
300.212,84.384,168.768,2
304.573,85.843,171.686,2
308.933,87.328,174.656,2
313.294,88.838,177.676,2
317.655,90.374,180.749,2
322.016,91.937,183.874,2
326.377,93.527,187.054,2
330.738,95.145,190.289,2
335.099,96.790,193.580,2
339.459,98.464,196.928,2
343.820,100.167,200.333,2
348.181,101.899,203.798,2
352.542,103.661,207.322,2
356.903,105.454,210.908,2
361.264,107.277,214.555,2
365.624,109.133,218.265,2
369.985,111.020,222.040,2
374.346,112.940,225.880,2
378.707,114.893,229.786,2
383.068,116.880,233.760,2
387.429,118.901,237.803,2
391.790,120.958,241.915,2
396.150,123.049,246.099,2
400.511,125.177,250.355,2
404.872,127.342,254.684,2
409.233,129.544,259.089,2
413.594,131.785,263.569,2
417.955,134.064,268.127,2
